Classifier,Relation,Run,Fold,AUPRC (macro averaged),AUPRC (macro averaged) [count],AUPRC (macro averaged) [stdev],AUROC (macro averaged),AUROC (macro averaged) [count],AUROC (macro averaged) [stdev],Accuracy,Accuracy [count],Accuracy [stdev],Avg precision,Avg precision [count],Avg precision [stdev],Build Time,Build Time [count],Build Time [stdev],Empty labelvectors (predicted),Empty labelvectors (predicted) [count],Empty labelvectors (predicted) [stdev],Exact match,Exact match [count],Exact match [stdev],F1 (macro averaged by example),F1 (macro averaged by example) [count],F1 (macro averaged by example) [stdev],F1 (macro averaged by label),F1 (macro averaged by label) [count],F1 (macro averaged by label) [stdev],F1 (micro averaged),F1 (micro averaged) [count],F1 (micro averaged) [stdev],Fold [count],Fold [stdev],Hamming loss,Hamming loss [count],Hamming loss [stdev],Hamming score,Hamming score [count],Hamming score [stdev],Harmonic score,Harmonic score [count],Harmonic score [stdev],Jaccard distance,Jaccard distance [count],Jaccard distance [stdev],Jaccard index,Jaccard index [count],Jaccard index [stdev],Label cardinality (difference),Label cardinality (difference) [count],Label cardinality (difference) [stdev],Label cardinality (predicted),Label cardinality (predicted) [count],Label cardinality (predicted) [stdev],Label cardinality (test set),Label cardinality (test set) [count],Label cardinality (test set) [stdev],Label cardinality (train set),Label cardinality (train set) [count],Label cardinality (train set) [stdev],Levenshtein distance,Levenshtein distance [count],Levenshtein distance [stdev],Log Loss (lim. D),Log Loss (lim. D) [count],Log Loss (lim. D) [stdev],Log Loss (lim. L),Log Loss (lim. L) [count],Log Loss (lim. L) [stdev],Macro Precision,Macro Precision [count],Macro Precision [stdev],Macro Recall,Macro Recall [count],Macro Recall [stdev],Micro Precision,Micro Precision [count],Micro Precision [stdev],Micro Recall,Micro Recall [count],Micro Recall [stdev],Number of test instances,Number of test instances (N),Number of test instances (N) [count],Number of test instances (N) [stdev],Number of test instances [count],Number of test instances [stdev],Number of training instances,Number of training instances [count],Number of training instances [stdev],One error,One error [count],One error [stdev],Rank loss,Rank loss [count],Rank loss [stdev],Run [count],Run [stdev],Test Time,Test Time [count],Test Time [stdev],Total Time,Total Time [count],Total Time [stdev],ZeroOne loss,ZeroOne loss [count],ZeroOne loss [stdev]
meka.classifiers.multilabel.BR -W weka.classifiers.meta.AdaBoostM1 -- -P 100 -S 1 -I 10 -W weka.classifiers.trees.J48 -- -C 0.25 -M 2,s_0: -C -2,5.5,5.5,0.975461017,100,0.020938252,0.990811005,100,0.007898196,0.946212121,100,0.023655772,0.886414141,100,0.032940482,0.14279,100,0.023554062,0.548232323,100,0.017321186,0.926010101,100,0.034552448,0.422643098,100,0.025845197,0.939969556,100,0.026476101,0.944904795,100,0.022743112,100,2.886751346,0.036994949,100,0.017276224,0.963005051,100,0.017276224,NaN,100,NaN,0.053787879,100,0.023655772,0.946212121,100,0.023655772,0.020151515,100,0.065363339,0.658535354,100,0.044839592,0.678686869,100,0.089981493,0.67865212,100,0.010090938,0.036994949,100,0.017276224,0.078029858,100,0.038342254,0.017661731,100,0.010444011,0.95654304,100,0.043310872,0.932792771,100,0.058786758,0.957917488,100,0.041619827,0.93619728,100,0.053755133,44.5,44.5,100,0.502518908,100,0.502518908,400.5,100,0.502518908,0.548181818,100,0.033988546,0.002222222,100,0.006700252,100,2.886751346,2.00E-04,100,0.001608061,0.14299,100,0.023542566,0.073989899,100,0.034552448
meka.classifiers.multilabel.BR -W weka.classifiers.meta.AdaBoostM1 -- -P 100 -S 1 -I 10 -W weka.classifiers.trees.J48 -- -U -M 2,s_0: -C -2,5.5,5.5,0.97328371,100,0.019167089,0.990382476,100,0.007008741,0.949646465,100,0.031945062,0.886414141,100,0.032940482,0.13818,100,0.024938462,0.541464646,100,0.020015528,0.930555556,100,0.048300124,0.427929293,100,0.027990066,0.943747813,100,0.038355582,0.948576838,100,0.032171766,100,2.886751346,0.034722222,100,0.024150062,0.965277778,100,0.024150062,NaN,100,NaN,0.050353535,100,0.031945062,0.949646465,100,0.031945062,0.020151515,100,0.075952696,0.658535354,100,0.04014395,0.678686869,100,0.089981493,0.67865212,100,0.010090938,0.034722222,100,0.024150062,0.072610182,100,0.048035184,0.01498654,100,0.009757202,0.961891026,100,0.040672205,0.9378707,100,0.074482154,0.961428167,100,0.041600973,0.941375299,100,0.069422188,44.5,44.5,100,0.502518908,100,0.502518908,400.5,100,0.502518908,0.548181818,100,0.033988546,0.002222222,100,0.006700252,100,2.886751346,4.00E-05,100,1.97E-04,0.13822,100,0.024979013,0.069444444,100,0.048300124
meka.classifiers.multilabel.BR -W weka.classifiers.meta.AdaBoostM1 -- -P 100 -S 1 -I 10 -W weka.classifiers.trees.RandomForest -- -I 100 -K 0 -S 1 -num-slots 1,s_0: -C -2,5.5,5.5,0.990810178,100,0.010067544,0.99623541,100,0.003929501,0.936032828,100,0.044262893,0.88530303,100,0.031873522,0.21506,100,0.021151125,0.559035354,100,0.033024879,0.917686869,100,0.05283348,0.412461279,100,0.040575364,0.93046827,100,0.044101709,0.933885313,100,0.043927384,100,2.886751346,0.044489899,100,0.030343993,0.955510101,100,0.030343993,NaN,100,NaN,0.063967172,100,0.044262893,0.936032828,100,0.044262893,0.018888889,100,0.096727338,0.65979798,100,0.01308965,0.678686869,100,0.089981493,0.67865212,100,0.010090938,0.044489899,100,0.030343993,0.084117839,100,0.02470183,0.073896312,100,0.018536619,0.946263238,100,0.074707697,0.927273798,100,0.078851593,0.947601342,100,0.074201031,0.929620993,100,0.077722395,44.5,44.5,100,0.502518908,100,0.502518908,400.5,100,0.502518908,0.545959596,100,0.036966708,0,100,0,100,2.886751346,0.00207,100,0.005091595,0.21713,100,0.021743526,0.082313131,100,0.05283348
meka.classifiers.multilabel.BR -W weka.classifiers.trees.J48 -- -C 0.25 -M 2,s_0: -C -2,5.5,5.5,0.94850908,100,0.031426298,0.977959854,100,0.009935017,0.963005051,100,0.018756042,0.887525253,100,0.032816351,0.0128,100,0.007156264,0.532474747,100,0.023749853,0.943939394,100,0.026943678,0.439107744,100,0.034287944,0.955923806,100,0.022184313,0.957747316,100,0.021551496,100,2.886751346,0.028030303,100,0.013471839,0.971969697,100,0.013471839,NaN,100,NaN,0.036994949,100,0.018756042,0.963005051,100,0.018756042,0.002222222,100,0.04532012,0.676464646,100,0.054592387,0.678686869,100,0.089981493,0.67865212,100,0.010090938,0.028030303,100,0.013471839,0.086813127,100,0.034900414,0.02299299,100,0.007786533,0.957657967,100,0.048600101,0.95862772,100,0.02624265,0.958157684,100,0.046889768,0.959457436,100,0.025645227,44.5,44.5,100,0.502518908,100,0.502518908,400.5,100,0.502518908,0.545959596,100,0.036966708,0.004444444,100,0.008933669,100,2.886751346,0,100,0,0.0128,100,0.007156264,0.056060606,100,0.026943678
meka.classifiers.multilabel.BR -W weka.classifiers.trees.RandomForest -- -I 100 -K 0 -S 1 -num-slots 1,s_0: -C -2,5.5,5.5,0.990654028,100,0.011276738,0.996222354,100,0.004168892,0.937255051,100,0.04317218,0.88530303,100,0.031873522,0.19549,100,0.033767624,0.558580808,100,0.032582568,0.919242424,100,0.05169696,0.413355219,100,0.039739329,0.931355057,100,0.042843918,0.934747591,100,0.042645183,100,2.886751346,0.043934343,100,0.029607795,0.956065657,100,0.029607795,NaN,100,NaN,0.062744949,100,0.04317218,0.937255051,100,0.04317218,0.018656566,100,0.095876158,0.660030303,100,0.012389687,0.678686869,100,0.089981493,0.67865212,100,0.010090938,0.043934343,100,0.029607795,0.083394667,100,0.025456763,0.073332631,100,0.018898909,0.947109872,100,0.072093138,0.928202531,100,0.079108612,0.948140642,100,0.072232456,0.930662499,100,0.077746489,44.5,44.5,100,0.502518908,100,0.502518908,400.5,100,0.502518908,0.545959596,100,0.036966708,0,100,0,100,2.886751346,0.00227,100,0.00541389,0.19776,100,0.034268141,0.080757576,100,0.05169696
meka.classifiers.multilabel.CC -S 0 -W weka.classifiers.meta.AdaBoostM1 -- -P 100 -S 1 -I 10 -W weka.classifiers.trees.J48 -- -C 0.25 -M 2,s_0: -C -2,5.5,5.5,0.941263934,100,0.036115137,0.973702895,100,0.01565076,0.965328283,100,0.022550026,0.891994949,100,0.033658754,0.14279,100,0.023765817,0.541464646,100,0.030066973,0.953030303,100,0.027157036,0.436902357,100,0.040768558,0.963358273,100,0.022253752,0.96407643,100,0.022972937,100,2.886751346,0.023484848,100,0.013578518,0.976515152,100,0.013578518,NaN,100,NaN,0.034671717,100,0.022550026,0.965328283,100,0.022550026,-0.002222222,100,0.012216491,0.680909091,100,0.08651263,0.678686869,100,0.089981493,0.67865212,100,0.010090938,0.023484848,100,0.013578518,0.089245668,100,0.051741028,0.016278457,100,0.009411912,0.961781929,100,0.025911549,0.965695881,100,0.022028735,0.962267239,100,0.026279528,0.966054243,100,0.022865647,44.5,44.5,100,0.502518908,100,0.502518908,400.5,100,0.502518908,0.552676768,100,0.045388773,0.013383838,100,0.020492315,100,2.886751346,8.10E-04,100,0.003460294,0.1436,100,0.023672855,0.046969697,100,0.027157036
meka.classifiers.multilabel.CC -S 0 -W weka.classifiers.meta.AdaBoostM1 -- -P 100 -S 1 -I 10 -W weka.classifiers.trees.J48 -- -U -M 2,s_0: -C -2,5.5,5.5,0.9423668,100,0.039610732,0.976950349,100,0.01524729,0.969772727,100,0.018640916,0.893156566,100,0.030700563,0.14268,100,0.023691997,0.534747475,100,0.021492072,0.95520202,100,0.028214285,0.442104377,100,0.031343036,0.964936413,100,0.023622064,0.966972194,100,0.021293728,100,2.886751346,0.02239899,100,0.014107142,0.97760101,100,0.014107142,NaN,100,NaN,0.030227273,100,0.018640916,0.969772727,100,0.018640916,-0.009040404,100,0.022967139,0.687727273,100,0.076760712,0.678686869,100,0.089981493,0.67865212,100,0.010090938,0.02239899,100,0.014107142,0.085086633,100,0.0537182,0.015525797,100,0.009778326,0.958286258,100,0.034397366,0.973572012,100,0.023113464,0.959768431,100,0.031267083,0.974894676,100,0.022152174,44.5,44.5,100,0.502518908,100,0.502518908,400.5,100,0.502518908,0.545959596,100,0.036966708,0.015707071,100,0.022593902,100,2.886751346,3.00E-05,100,1.71E-04,0.14271,100,0.023713481,0.04479798,100,0.028214285
meka.classifiers.multilabel.CC -S 0 -W weka.classifiers.meta.AdaBoostM1 -- -P 100 -S 1 -I 10 -W weka.classifiers.trees.RandomForest -- -I 100 -K 0 -S 1 -num-slots 1,s_0: -C -2,5.5,5.5,0.943640151,100,0.050994266,0.979395778,100,0.019325589,0.96960101,100,0.02729876,0.892017677,100,0.030157071,0.20957,100,0.023936049,0.537479798,100,0.024287689,0.958409091,100,0.035868491,0.441215488,100,0.037256297,0.966494471,100,0.030668301,0.96776087,100,0.029837836,100,2.886751346,0.021017677,100,0.018226467,0.978982323,100,0.018226467,NaN,100,NaN,0.03039899,100,0.02729876,0.96960101,100,0.02729876,-0.01429798,100,0.022957511,0.692984848,100,0.078258449,0.678686869,100,0.089981493,0.67865212,100,0.010090938,0.021017677,100,0.018226467,0.079876961,100,0.069317085,0.014568343,100,0.012633624,0.95557881,100,0.041718135,0.979186203,100,0.026755765,0.957162127,100,0.040732243,0.979291774,100,0.026457644,44.5,44.5,100,0.502518908,100,0.502518908,400.5,100,0.502518908,0.551772727,100,0.038097116,0.013429293,100,0.017469391,100,2.886751346,0.00196,100,0.004898815,0.21153,100,0.023170189,0.041590909,100,0.035868491
meka.classifiers.multilabel.CC -S 0 -W weka.classifiers.trees.J48 -- -C 0.25 -M 2,s_0: -C -2,5.5,5.5,0.940714374,100,0.025169078,0.97562003,100,0.009244769,0.967449495,100,0.014547464,0.891994949,100,0.034027232,0.01362,100,0.005780112,0.532424242,100,0.031915408,0.952878788,100,0.018565833,0.442104377,100,0.035269824,0.963408351,100,0.014149404,0.964711904,100,0.015166151,100,2.886751346,0.023560606,100,0.009282916,0.976439394,100,0.009282916,NaN,100,NaN,0.032550505,100,0.014547464,0.967449495,100,0.014547464,-0.006717172,100,0.02258318,0.68540404,100,0.081179463,0.678686869,100,0.089981493,0.67865212,100,0.010090938,0.023560606,100,0.009282916,0.089457439,100,0.035327208,0.016330968,100,0.006434427,0.958438645,100,0.027878394,0.970807207,100,0.016883325,0.959391339,100,0.027185714,0.970685506,100,0.016983907,44.5,44.5,100,0.502518908,100,0.502518908,400.5,100,0.502518908,0.545959596,100,0.036966708,0.013383838,100,0.022796887,100,2.886751346,1.60E-04,100,0.0016,0.01378,100,0.005618476,0.047121212,100,0.018565833
meka.classifiers.multilabel.CC -S 0 -W weka.classifiers.trees.RandomForest -- -I 100 -K 0 -S 1 -num-slots 1,s_0: -C -2,5.5,5.5,0.940261859,100,0.05250416,0.978695352,100,0.019037589,0.967800505,100,0.028228926,0.892353535,100,0.02991668,0.19051,100,0.023888417,0.535257576,100,0.024594602,0.956161616,100,0.035874426,0.441351852,100,0.038459799,0.964663144,100,0.031216992,0.965998103,100,0.030639614,100,2.886751346,0.022030303,100,0.018111719,0.977969697,100,0.018111719,NaN,100,NaN,0.032199495,100,0.028228926,0.967800505,100,0.028228926,-0.016292929,100,0.023247691,0.694979798,100,0.078681356,0.678686869,100,0.089981493,0.67865212,100,0.010090938,0.022030303,100,0.018111719,0.083718919,100,0.068868982,0.015270242,100,0.012554087,0.952181978,100,0.043756298,0.979118056,100,0.025780707,0.9541278,100,0.042581774,0.978906892,100,0.02609568,44.5,44.5,100,0.502518908,100,0.502518908,400.5,100,0.502518908,0.551111111,100,0.039735568,0.01410101,100,0.017667171,100,2.886751346,0.00201,100,0.005048242,0.19252,100,0.023601695,0.043838384,100,0.035874426
meka.classifiers.multilabel.LC -W weka.classifiers.meta.AdaBoostM1 -- -P 100 -S 1 -I 10 -W weka.classifiers.trees.J48 -- -C 0.25 -M 2,s_0: -C -2,5.5,5.5,0.96205042,100,0.020609703,0.98173931,100,0.010073757,0.975378788,100,0.010881518,0.887525253,100,0.032816351,0.15276,100,0.018136475,0.541464646,100,0.022266527,0.968686869,100,0.014693972,0.442861953,100,0.031695513,0.975570896,100,0.012124879,0.976494373,100,0.012144193,100,2.886751346,0.015656566,100,0.007346986,0.984343434,100,0.007346986,NaN,100,NaN,0.024621212,100,0.010881518,0.975378788,100,0.010881518,0.004444444,100,0.0280593,0.674242424,100,0.076717048,0.678686869,100,0.089981493,0.67865212,100,0.010090938,0.015656566,100,0.007346986,0.059497112,100,0.028028004,0.010852304,100,0.005092543,0.979267705,100,0.024424304,0.973374452,100,0.024407067,0.979026416,100,0.024156252,0.97481375,100,0.022961298,44.5,44.5,100,0.502518908,100,0.502518908,400.5,100,0.502518908,0.550454545,100,0.034358173,0.004444444,100,0.008933669,100,2.886751346,3.40E-04,100,0.002184519,0.1531,100,0.018386699,0.031313131,100,0.014693972
meka.classifiers.multilabel.LC -W weka.classifiers.meta.AdaBoostM1 -- -P 100 -S 1 -I 10 -W weka.classifiers.trees.J48 -- -U -M 2,s_0: -C -2,5.5,5.5,0.956519878,100,0.041611583,0.977811838,100,0.019792674,0.972020202,100,0.020190794,0.887525253,100,0.032816351,0.14734,100,0.01757766,0.543737374,100,0.021478161,0.964242424,100,0.028587822,0.43986532,100,0.034098622,0.971170836,100,0.026472197,0.973002146,100,0.022959026,100,2.886751346,0.017878788,100,0.014293911,0.982121212,100,0.014293911,NaN,100,NaN,0.027979798,100,0.020190794,0.972020202,100,0.020190794,0.008888889,100,0.024962316,0.66979798,100,0.074486774,0.678686869,100,0.089981493,0.67865212,100,0.010090938,0.017878788,100,0.014293911,0.067956362,100,0.054418376,0.012392631,100,0.009907784,0.978164683,100,0.026793524,0.965519509,100,0.034512076,0.978396421,100,0.02545892,0.968215495,100,0.030700741,44.5,44.5,100,0.502518908,100,0.502518908,400.5,100,0.502518908,0.552727273,100,0.033306269,0.004444444,100,0.008933669,100,2.886751346,6.30E-04,100,0.00305391,0.14797,100,0.017499469,0.035757576,100,0.028587822
meka.classifiers.multilabel.LC -W weka.classifiers.meta.AdaBoostM1 -- -P 100 -S 1 -I 10 -W weka.classifiers.trees.RandomForest -- -I 100 -K 0 -S 1 -num-slots 1,s_0: -C -2,5.5,5.5,0.937563345,100,0.050641149,0.976558062,100,0.019264953,0.966545455,100,0.025515024,0.892234848,100,0.030289814,0.15427,100,0.025378291,0.537272727,100,0.024195083,0.95389899,100,0.033621183,0.439548822,100,0.036655743,0.962650012,100,0.03058615,0.963748671,100,0.030491978,100,2.886751346,0.023606061,100,0.017958476,0.976393939,100,0.017958476,NaN,100,NaN,0.033454545,100,0.025515024,0.966545455,100,0.025515024,-0.014959596,100,0.024803765,0.693646465,100,0.078500728,0.678686869,100,0.089981493,0.67865212,100,0.010090938,0.023606061,100,0.017958476,0.089696866,100,0.068331291,0.016362474,100,0.012447867,0.95149043,100,0.042253242,0.975713114,100,0.027441237,0.952857228,100,0.042147475,0.975704841,100,0.027564667,44.5,44.5,100,0.502518908,100,0.502518908,400.5,100,0.502518908,0.553383838,100,0.035569363,0.013863636,100,0.016788484,100,2.886751346,0.00191,100,0.004737759,0.15618,100,0.025423834,0.04610101,100,0.033621183
meka.classifiers.multilabel.LC -W weka.classifiers.trees.J48 -- -C 0.25 -M 2,s_0: -C -2,5.5,5.5,0.94756629,100,0.025102259,0.977034697,100,0.014488068,0.967424242,100,0.009387761,0.888661616,100,0.030911954,0.01318,100,0.015346753,0.539191919,100,0.025075597,0.95959596,100,0.016828894,0.43983165,100,0.029468319,0.967093925,100,0.016268957,0.969830917,100,0.01317179,100,2.886751346,0.02020202,100,0.008414447,0.97979798,100,0.008414447,NaN,100,NaN,0.032575758,100,0.009387761,0.967424242,100,0.009387761,-1.01E-04,100,0.033402519,0.678787879,100,0.077973245,0.678686869,100,0.089981493,0.67865212,100,0.010090938,0.02020202,100,0.008414447,0.076697974,100,0.031969957,0.014002973,100,0.00583245,0.967453845,100,0.025636863,0.968759949,100,0.033832755,0.969198346,100,0.02462047,0.971662136,100,0.030084654,44.5,44.5,100,0.502518908,100,0.502518908,400.5,100,0.502518908,0.552727273,100,0.033168285,0.006717172,100,0.010313173,100,2.886751346,1.60E-04,100,0.0016,0.01334,100,0.01529126,0.04040404,100,0.016828894
meka.classifiers.multilabel.LC -W weka.classifiers.trees.RandomForest -- -I 100 -K 0 -S 1 -num-slots 1,s_0: -C -2,5.5,5.5,0.937741117,100,0.048417414,0.977278243,100,0.018112125,0.966871212,100,0.024584462,0.892239899,100,0.029505648,0.13779,100,0.02007375,0.53590404,100,0.024635989,0.95410101,100,0.031715563,0.440375421,100,0.03604327,0.963083763,100,0.029159362,0.963975976,100,0.029264177,100,2.886751346,0.023505051,100,0.016926469,0.976494949,100,0.016926469,NaN,100,NaN,0.033128788,100,0.024584462,0.966871212,100,0.024584462,-0.017010101,100,0.025059139,0.69569697,100,0.076162658,0.678686869,100,0.089981493,0.67865212,100,0.010090938,0.023505051,100,0.016926469,0.08930214,100,0.064403879,0.016292459,100,0.011732534,0.950326835,100,0.041271734,0.977862589,100,0.026446063,0.951484198,100,0.040974917,0.977601904,100,0.026851973,44.5,44.5,100,0.502518908,100,0.502518908,400.5,100,0.502518908,0.552929293,100,0.034929608,0.013873737,100,0.016521796,100,2.886751346,0.00203,100,0.004971545,0.13982,100,0.019889279,0.04589899,100,0.031715563
